,sample_number,num_phenotypes
0,1,0
1,2,1
2,3,2
3,4,3
4,5,4
5,6,5
6,7,6
7,8,7
8,9,8
9,10,9
10,11,10
11,13,11
12,15,12
13,16,13
14,17,14
15,18,15
16,19,16
17,21,17
18,22,18
19,24,19
20,25,20
21,26,21
22,28,22
23,29,23
24,30,24
25,31,25
26,34,26
27,37,27
28,38,28
29,39,29
30,43,30
31,44,31
32,52,32
33,54,33
34,55,34
35,58,35
36,62,36
37,65,37
38,66,38
39,67,39
40,69,40
41,71,41
42,74,42
43,81,43
44,82,44
45,83,45
46,84,46
47,87,47
48,89,48
49,94,49
50,96,50
51,97,51
52,102,52
53,115,53
54,117,54
55,129,55
56,131,56
57,133,57
58,137,58
59,139,59
60,141,60
61,146,61
62,156,62
63,157,63
64,162,64
65,163,65
66,164,66
67,173,67
68,174,68
69,183,69
70,214,70
71,217,71
72,219,72
73,225,73
74,228,74
75,231,75
76,232,76
77,240,77
78,245,78
79,250,79
80,256,80
81,271,81
82,284,82
83,291,83
84,292,84
85,308,85
86,323,86
87,334,87
88,339,88
89,342,89
90,354,90
91,367,91
92,381,92
93,385,93
94,396,94
95,403,95
96,406,96
97,451,97
98,462,98
99,468,99
100,476,100
101,490,101
102,500,102
103,531,103
104,574,104
105,577,105
106,618,106
107,679,107
108,682,108
109,693,109
110,727,110
111,785,111
112,809,112
113,814,113
114,816,114
115,850,115
116,861,116
117,897,117
118,908,118
119,916,119
120,1018,120
121,1087,121
122,1163,122
123,1435,123
124,1484,124
125,2160,125
126,3776,126
127,3777,127
