,phenotype,count
0,1011010,36
1,1101110,51
2,0011011,30
3,0010101,10
4,0100101,18
5,1000100,76
6,1110110,48
7,1111111,636
8,1001100,106
9,1000110,83
10,1101101,54
11,0011001,43
12,1011101,46
13,1111011,109
14,0010110,19
15,1011000,382
16,0011000,66
17,0100110,8
18,1001001,33
19,1100111,25
20,1010001,33
21,1110001,48
22,1010010,28
23,1101111,82
24,0111101,78
25,1101100,18
26,0111111,249
27,1100100,21
28,1001000,75
29,0010010,7
30,1101000,19
31,1001111,39
32,0100111,18
33,0101011,24
34,1011100,127
35,1110100,16
36,1001101,39
37,1010101,22
38,0010000,20
39,1110111,56
40,1111000,46
41,0111010,49
42,1110011,25
43,0011111,31
44,1110010,15
45,1011111,54
46,0101101,38
47,1001011,18
48,0110001,16
49,1111010,57
50,0011100,41
51,1001110,46
52,0001110,19
53,0010100,12
54,0000100,22
55,0111011,78
56,0101111,63
57,0011101,23
58,0001111,17
59,1010111,22
60,1011001,59
61,1111110,68
62,1110101,46
63,1010100,41
64,1011110,40
65,0101001,7
66,1111001,36
67,0001010,13
68,1111100,31
69,0111100,9
70,1100001,16
71,1111101,109
72,1101011,34
73,0001101,13
74,0111000,27
75,1100011,11
76,1010000,70
77,1011011,29
78,0110110,15
79,0110100,7
80,1010110,28
81,0111110,22
82,0110101,33
83,0101010,19
84,1100000,8
85,1000111,34
86,0001001,5
87,1101010,24
88,0001100,31
89,0101110,18
90,0000000,8
91,0011110,27
92,0010111,12
93,1010011,8
94,0000111,12
95,1110000,28
96,0100100,9
97,1100110,18
98,0001011,9
99,0110111,31
100,0110011,19
101,1000000,25
102,0001000,14
103,0111001,25
104,1100101,36
105,1000001,16
106,1001010,19
107,0010001,12
108,1000011,5
109,1000010,17
110,1000101,27
111,0100010,3
112,0011010,12
113,0110000,11
114,0110010,10
115,0100011,7
116,0101100,8
117,0000011,3
118,1100010,9
119,0000110,17
120,0101000,9
121,0100001,7
122,1101001,7
123,0000001,6
124,0000101,14
125,0000010,5
126,0100000,1
127,0010011,2
