,phenotype,count
0,10111111110000111101,2
1,11100110011000111111,1
2,01011101010001101100,29
3,11110010101100011110,1
4,11111111010001101111,73
5,00110111100101111000,1
6,01001101101010011001,3
7,10111101101111011111,5
8,11100100011110011110,1
9,01010100101100100101,1
10,01110100100101100100,1
11,11111101111001111101,21
12,11111101010101001101,31
13,11000000001111000111,6
14,01101001000000010001,1
15,11011010001101110010,1
16,11011101101111001101,135
17,01011010101101000111,1
18,11100001010011010000,2
19,01011111011011101101,6
20,01111010011010111111,93
21,00101100011011000001,1
22,11111111111110101101,36
23,10101011011110100011,1
24,11111100001011110011,7
25,01111010011000001111,4
26,01110101111101111101,2
27,11010010101100000101,3
28,11010100111100001101,3
29,11011100101111001101,4581
30,01110001101111011101,6
31,01111100101001000101,1
32,11100011001010010111,22
33,01110011011100011111,1
34,11101010101110110011,160
35,11110110110100111100,1
36,01001101010001001000,76
37,11001100011010010101,1
38,11111111011101111011,16
39,01111001110101101011,1
40,01001010001100110110,1
41,01011110010001011000,1
42,11001101111111001101,5
43,11010100111101101101,10
44,01111001010011001101,28
45,11111011101111101111,3
46,11110110010111001101,3
47,01011100010110011000,1
48,11101011001101110111,2
49,00001111101101110010,3
50,11101101010011011000,21
51,11110111101101011111,2
52,11011010101110100101,2
53,00111001010000000101,3
54,01100001001011010010,1
55,01001100110001001000,13
56,01101010100010100110,2
57,11000000001001110111,4
58,00010001100001010100,1
59,11111101010001001101,4119
60,00101001000001010010,15
61,10111101011011111101,3
62,01101101100001010000,1
63,01111101010010101110,2
64,01011111010000101100,35
65,11010111011110100101,2
66,10101111010010011001,5
67,11010110101101010101,30
68,11010110101101011101,9
69,11001100001111000101,76
70,11001001011001111110,1
71,11110111101111101101,7
72,01111101010101101100,1
73,11111110101111011101,11
74,11011010001110011111,1
75,11010010101111011001,3
76,11110100001110111101,2
77,11110110111100101111,158
78,11101001101011011101,1
79,01001100000101110010,6
80,11001101000011010001,4
81,01111111010011101011,1
82,01011101011001101101,5
83,10111110111010101111,5
84,11111111101111010101,2
85,11001101001011110011,16
86,11011101101111011101,222
87,01011100100111001100,30
88,01111110010101111100,1
89,01011101101011011111,2
90,11111001101000100111,1
91,01110011011101011110,1
92,11111110111000111111,19
93,11100101000001001000,2
94,01011110110011001100,3
95,10101001001101100011,2
96,11011100101111000101,669
97,10101111001001110111,9
98,01010100100111100010,1
99,11101010001011100101,3
100,11101000101101011101,1
101,11001000011100001111,1
102,11010110101111001101,234
103,11100010101100110011,2
104,01111110110000101110,18
105,01011010001000110101,1
106,01101100010111011001,1
107,11110001001011011101,1
108,01001000000011010100,9
109,11111010101010110011,8
110,10001100101111111011,1
111,00111111010010111110,2
112,01111110010001101110,21
113,11111101111001101101,13
114,10100000001010011011,1
115,01111111110001111111,1
116,01111010011000111011,36
117,11011010101100111011,1
118,01010001101111010101,14
119,01001001001011010111,5
120,01111001101111011101,4
121,11010100111110100101,20
122,01011010100011011010,91
123,11101011101110101111,1
124,11110110111100110111,81
125,10111111011100111111,9
126,11110110111100001101,7
127,11011111110001101101,25
128,11101011001110100101,7
129,01101111010010111010,2
130,11000101000010010000,1
131,01001111110001001100,97
132,01111000111111011011,1
133,01111110110100111110,4
134,11100001001010001101,1
135,01111111001111100101,1
136,01111001010011010101,19
137,11110101101111011101,148
138,11010101111111110111,1
139,00101101110001101100,1
140,01011010101011011011,2
141,11111110011101101101,6
142,00011101000001000100,1
143,11011100101111010101,67
144,11110110011111111111,17
145,11001011001101110001,2
146,11001000101000110011,2
147,01011111011000101101,13
148,01111010011010111011,156
149,01011111110001001100,43
150,01010010100011101001,1
151,00001100110000001000,1
152,01001101110001001001,1
153,10001101011011111011,31
154,10001001001111010111,6
155,11111110111101101101,18
156,01111100111000100010,1
157,10000101000110010101,1
158,11001101011111000101,2
159,11101010101110110111,35
160,11111111011011111111,73
161,01011001010011000100,2
162,11111001011111101101,1
163,11110110111111011101,15
164,11100100001101010101,3
165,00000100011101011001,1
166,10111110111101111101,1
167,11010001011110111101,1
168,00100000110101010000,1
169,11101111001011110111,61
170,01111100111110110011,1
171,11011101100111001110,2
172,11101001000011010101,5
173,10011101101011011011,2
174,01101000100101100000,2
175,01011111101011001101,11
176,10111001010000011101,2
177,11011011101011100111,2
178,01101010001110110011,17
179,11111111010011001101,65
180,01010010100011001000,9
181,01001101000100111010,1
182,11111100101011111101,2
183,01010100110011100000,7
184,11001100001111010111,8
185,11110110111101101101,66
186,00001101001011010011,2
187,11110010101100100101,3
188,11111101010011001101,96
189,11000001001111000001,2
190,01101010000000000000,1
191,00111111110000101010,8
192,11111011110111100001,1
193,11001101111011111001,1
194,11101010011111110011,3
195,11111111011011001101,15
196,01111100000001110010,3
197,01011110010001001101,17
198,11100010000010000101,2
199,01101101110011001010,2
200,01111100010101001101,5
201,11110010111110100101,7
202,01101000010000010100,1
203,11110101111010001101,3
204,01001111010101001000,3
205,01111110010101101001,2
206,11010010101101100101,2
207,01111010110010101101,1
208,10011100100111101000,1
209,11101111011101111011,2
210,01100010010001110011,1
211,10111011100110110000,1
212,10111101111010111001,2
213,11111100101110000101,4
214,00110110110000101110,10
215,01110011011111111111,3
216,11100001101111010001,4
217,11010010101111110101,5
218,11110111110111101100,4
219,01111111111011001101,3
220,01011111110001101100,703
221,11111111111010111111,37
222,11100000011101110101,1
223,10110011111110011111,1
224,01001111111101110011,1
225,11101011001010010111,62
226,11111111111001111011,2
227,00111110011100001010,1
228,01000100000010000100,1
229,11111111111111111011,20
230,11011101011111101101,3
231,11111010011010110011,2
232,11011000001001110101,1
233,11110110101100111101,8
234,11110011101111000110,6
235,11111111011001011101,16
236,11010100101110001101,21
237,00110101010011011101,1
238,11100001001010000101,7
239,11010110001110000101,1
240,11011011101110110110,1
241,01111010001010110011,43
242,01011111010010101100,6
243,11000001011011010111,2
244,11010001011110110000,1
245,11000010101101000101,1
246,11011111110011101100,4
247,00001011010001010000,1
248,11000000111110010101,3
249,01101011100000000110,1
250,11110110011110101001,1
251,01111100100001111100,1
252,11011101101110011101,26
253,10001100011001010001,2
254,11110101111111001101,29
255,11111001101110000101,3
256,11011101100011001000,1
257,10111000111100011010,1
258,01110010001100011110,2
259,00110111111010111001,1
260,11111101010001011101,49
261,01111110100001101100,2
262,01010100101111010101,64
263,01000000101100010100,1
264,01111111110001101010,6
265,10111011011001110111,2
266,10110110111101001101,1
267,11011101010001001101,147
268,00001000100100100010,1
269,00110110110011111000,2
270,11110100101011001101,12
271,11111101111111011101,37
272,11000000101001110110,1
273,11111010001111110011,16
274,11110110010011001101,2
275,01001100010011000001,2
276,11011100111110011101,1
277,11011100011001011101,2
278,11010111111111101101,28
279,10001100011011111011,7
280,11010100110010101111,1
281,01110110101110111111,2
282,01111110110101101010,3
283,00101001000101000000,30
284,11010101101011000101,16
285,01101001100110100010,2
286,01110111101011111111,2
287,11111111101011101001,1
288,01101010101111110011,101
289,00001011000011010010,1
290,11111010011010111011,81
291,01011100010000000101,2
292,11011100111111101101,66
293,11101101101111010111,8
294,11111111011010111111,53
295,11010110111100000111,4
296,11111011101010011111,1
297,10111111110011101101,6
298,11111110111011111011,4
299,11101000000111000000,1
300,11110101101111001101,56
301,11101001001010000101,1
302,11011100110101110100,1
303,11010101000011001100,2
304,11011000101111001101,134
305,11001100111011001001,3
306,10111011111010101011,2
307,10111101010010011101,22
308,10111011011010111111,9
309,11101111101011011111,12
310,11011111010111011100,1
311,00111010011100111101,8
312,01111000000011011000,3
313,01011100110111110000,1
314,00010001000101110000,1
315,11011101010011101010,2
316,11111010011010101111,14
317,01110100000111001101,3
318,11010100101111001101,837
319,01111110100011001100,15
320,01101111010001011000,5
321,10101100000001001010,1
322,01111100100001100000,1
323,01110000101011011101,3
324,01001011100101100000,1
325,11100110101110110111,5
326,11111101011011111001,5
327,00011011011111101100,1
328,11000000100101110101,1
329,11111110111111111111,43
330,11111110000010011000,1
331,11011010011010111111,6
332,10111111111010111101,14
333,01011111110001101110,42
334,10111111011110111111,16
335,01111111010000101101,1
336,01111111100001101100,3
337,10010100011101110011,2
338,11101110001110110101,1
339,11110101101011011101,10
340,11000100101111100101,13
341,11111111000000001100,1
342,10001011101101100011,1
343,11011000101101011101,4
344,01001101000011000000,15
345,11000000001100000101,5
346,01111111010001011101,11
347,10101010011010111011,1
348,11110011101110110011,2
349,11011100101111110101,5
350,01110100001111010001,1
351,00101110010001100010,1
352,01110000101111011111,5
353,11101111010001101100,3
354,10111110111100111001,1
355,11000000111101010111,3
356,11111111111011101101,38
357,01101011000001010110,2
358,11100010101110010001,2
