,sample_number,num_phenotypes
0,1,0
1,3,1
2,4,2
3,5,3
4,7,4
5,8,5
6,9,6
7,11,7
8,12,8
9,13,9
10,14,10
11,15,11
12,16,12
13,17,13
14,18,14
15,19,15
16,20,16
17,21,17
18,22,18
19,23,19
20,24,20
21,26,21
22,27,22
23,28,23
24,29,24
25,31,25
26,32,26
27,35,27
28,37,28
29,38,29
30,39,30
31,40,31
32,45,32
33,48,33
34,49,34
35,51,35
36,52,36
37,53,37
38,56,38
39,57,39
40,59,40
41,61,41
42,63,42
43,64,43
44,66,44
45,67,45
46,70,46
47,73,47
48,74,48
49,75,49
50,76,50
51,79,51
52,81,52
53,83,53
54,84,54
55,85,55
56,86,56
57,87,57
58,89,58
59,93,59
60,95,60
61,96,61
62,97,62
63,98,63
64,99,64
65,102,65
66,103,66
67,106,67
68,107,68
69,108,69
70,110,70
71,111,71
72,112,72
73,113,73
74,115,74
75,117,75
76,119,76
77,120,77
78,123,78
79,124,79
80,125,80
81,129,81
82,130,82
83,132,83
84,134,84
85,135,85
86,139,86
87,140,87
88,141,88
89,142,89
90,143,90
91,146,91
92,149,92
93,150,93
94,151,94
95,152,95
96,156,96
97,157,97
98,159,98
99,160,99
100,161,100
101,163,101
102,165,102
103,167,103
104,168,104
105,173,105
106,175,106
107,176,107
108,177,108
109,180,109
110,183,110
111,184,111
112,186,112
113,189,113
114,190,114
115,191,115
116,193,116
117,199,117
118,200,118
119,202,119
120,205,120
121,208,121
122,214,122
123,215,123
124,216,124
125,217,125
126,218,126
127,220,127
128,223,128
129,224,129
130,225,130
131,231,131
132,232,132
133,238,133
134,239,134
135,243,135
136,244,136
137,245,137
138,247,138
139,251,139
140,253,140
141,255,141
142,264,142
143,269,143
144,270,144
145,274,145
146,275,146
147,277,147
148,278,148
149,282,149
150,284,150
151,285,151
152,287,152
153,288,153
154,289,154
155,292,155
156,295,156
157,297,157
158,298,158
159,304,159
160,307,160
161,309,161
162,314,162
163,315,163
164,320,164
165,322,165
166,323,166
167,328,167
168,330,168
169,333,169
170,334,170
171,338,171
172,348,172
173,349,173
174,350,174
175,352,175
176,356,176
177,358,177
178,370,178
179,372,179
180,375,180
181,376,181
182,377,182
183,378,183
184,383,184
185,388,185
186,391,186
187,393,187
188,395,188
189,402,189
190,403,190
191,404,191
192,405,192
193,407,193
194,409,194
195,411,195
196,413,196
197,414,197
198,415,198
199,416,199
200,417,200
201,418,201
202,419,202
203,423,203
204,425,204
205,428,205
206,430,206
207,435,207
208,436,208
209,437,209
210,438,210
211,439,211
212,440,212
213,441,213
214,448,214
215,450,215
216,454,216
217,455,217
218,456,218
219,457,219
220,458,220
221,459,221
222,462,222
223,465,223
224,469,224
225,473,225
226,477,226
227,478,227
228,481,228
229,485,229
230,486,230
231,487,231
232,489,232
