,SIM_ID,ID,NN,n,th,FSM_COMPLEXITY_MAX_NO_IMPROVE,NUM_RANDOMIZATIONS,MAX_MODULARITY_MAX_NO_IMPROVEMENT,REPLICATE,STATUS,DURATION,RANDOM_SEED,DISPATCHER_ID,MSG,c,mean_rel_complexity,rel_complexity_trace,Q,Q_rand,Q_norm,Q_max,num_modules,Q_p_value,Q_z_score,Q_max_trace,I,duration_Q,duration_complexity,FK_SIMULATION,ID,complexity_normalized
0,1,1,20,20,0.5,2000000,0,0,0,DONE,575,98660560,f6de290f6318e95e38d2849bc22e8fb8,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,0.578947368421053,4.55,,0.066404958677686,,,,3.0,,,,0.038321228409968,0,575,1,64,0.22749999999999998
1,2,2,20,20,0.5,2000000,0,0,1,DONE,580,12003151,8afd9bb7a971a1fd9ed01c207ec54140,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,0.536842105263158,4.55,,0.115868896578239,,,,3.0,,,,0.052150278361331,0,581,2,66,0.22749999999999998
2,3,3,20,20,0.5,2000000,0,0,2,DONE,1051,18155768,a8ebce28dd2852805c6dc8abac9bbd38,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,0.594736842105263,4.6,,0.0925679379747826,,,,2.0,,,,0.0447928184359677,0,1051,3,156,0.22999999999999998
3,4,4,20,20,0.5,2000000,0,0,3,DONE,1087,97328655,d188e2247b86a4782c6642063c32c811,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,0.547368421052632,4.8,,0.131518121301775,,,,3.0,,,,0.0608560258494696,0,1087,4,160,0.24
4,5,5,20,20,0.5,2000000,0,0,4,DONE,594,13443240,b4e7e68b4212bc905f966eb24bd70200,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,0.621052631578947,4.15,,0.089629416834243,,,,2.0,,,,0.0471014388616067,0,594,5,73,0.20750000000000002
5,6,6,20,20,0.5,2000000,0,0,5,DONE,782,38228112,8168f58497632b18ebd5b8fdba33f55c,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,0.589473684210526,4.45,,0.0727439413265306,,,,3.0,,,,0.0457998707196611,0,782,6,100,0.2225
6,7,7,20,20,0.5,2000000,0,0,6,DONE,773,98423641,98aaf1891c9e4e7ef80a25e03e7ea201,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,0.542105263157895,4.2,,0.107832972004902,,,,2.0,,,,0.048515582267464,0,773,7,96,0.21000000000000002
7,8,8,20,20,0.5,2000000,0,0,7,DONE,642,99226791,2fc0d3d17014d0cc3d144cd3ee49c2bc,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,0.578947368421053,4.7,,0.0925206611570248,,,,2.0,,,,0.0450839406177558,0,643,8,79,0.23500000000000001
8,9,9,20,20,0.5,2000000,0,0,8,DONE,573,60957340,5542b59821710b1ae4abcf42b6f1c6e6,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,0.631578947368421,4.8,,0.0827777777777778,,,,2.0,,,,0.0347772658898863,0,573,9,67,0.24
9,10,10,20,20,0.5,2000000,0,0,9,DONE,873,96741881,4268f5cc482c0ca74bff41299c221d86,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,0.573684210526316,4.6,,0.0871559633027523,,,,2.0,,,,0.0387108632959208,0,874,10,126,0.22999999999999998
10,11,11,20,20,0.5,2000000,0,0,10,DONE,972,74633819,1c50ebac64b6ef1b1b937953bbf2cbef,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,0.568421052631579,4.7,,0.128086419753087,,,,2.0,,,,0.06745728727033,0,973,11,149,0.23500000000000001
11,12,12,20,20,0.5,2000000,0,0,11,DONE,790,5365263,24ed0ab7287bd57ac34386aab99057fa,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,0.515789473684211,4.3,,0.12624947938359,,,,4.0,,,,0.0612998448064275,0,791,12,107,0.215
12,13,13,20,20,0.5,2000000,0,0,12,DONE,725,14434711,fc2a1c9f60406bfe688329c2e292051c,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,0.6,3.65,,0.12773160972607,,,,2.0,,,,0.0649959508361944,0,725,13,87,0.1825
