,SIM_ID,ID,NN,n,th,FSM_COMPLEXITY_MAX_NO_IMPROVE,NUM_RANDOMIZATIONS,MAX_MODULARITY_MAX_NO_IMPROVEMENT,REPLICATE,STATUS,DURATION,RANDOM_SEED,DISPATCHER_ID,MSG,c,mean_rel_complexity,rel_complexity_trace,Q,Q_rand,Q_norm,Q_max,num_modules,Q_p_value,Q_z_score,Q_max_trace,I,duration_Q,duration_complexity,FK_SIMULATION,ID,complexity_normalized
0,1,1,40,10,0.5,2000000,0,0,0,DONE,1556,37645518,7ee2a28b463d6436d7a6ca02fd15055d,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,0.562820512820513,6.675,,0.0914093430399386,,,,3.0,,,,0.03410746226097,0,1556,1,7,0.6675
1,2,2,40,10,0.5,2000000,0,0,1,DONE,2953,52810609,210ddfa400d2e89ae130329744d32e22,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,0.601282051282051,6.05,,0.101242947613441,,,,2.0,,,,0.0325992602446866,0,2953,2,28,0.605
2,3,3,40,10,0.5,2000000,0,0,2,DONE,2261,39631105,fe336a15513b170f58b1b0ab39651683,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,0.557692307692308,6.025,,0.130310476945435,,,,2.0,,,,0.0489927759353414,0,2261,3,15,0.6025
3,4,4,40,10,0.5,2000000,0,0,3,DONE,2019,56416458,6e426901d20011ff369179965f1c90ce,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,0.601282051282051,6.125,,0.0891976304890413,,,,2.0,,,,0.0303389715205973,0,2020,4,14,0.6125
4,5,5,40,10,0.5,2000000,0,0,4,DONE,1554,32338121,d103ee373d658d834ede9f67f2f77d24,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,0.611538461538462,6.175,,0.086545011844644,,,,2.0,,,,0.0306748494105001,0,1554,5,8,0.6174999999999999
5,6,6,40,10,0.5,2000000,0,0,5,DONE,2475,21977317,321157bcec671fb5347b568f9cfa8c00,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,0.619230769230769,5.775,,0.112984324164448,,,,2.0,,,,0.0563058373087241,0,2476,6,19,0.5775
6,7,7,40,10,0.5,2000000,0,0,6,DONE,1629,41921040,08ff5e1cd9e3552c2939f9c56ece4ffe,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,0.557692307692308,6.6,,0.138142423041353,,,,2.0,,,,0.0409064626349823,0,1630,7,9,0.6599999999999999
7,8,8,40,10,0.5,2000000,0,0,7,DONE,1299,46628566,fbd1b0bc2cf7731e34317dc4969d02ea,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,0.605128205128205,5.6,,0.117925883366849,,,,2.0,,,,0.0492596436216537,0,1300,8,3,0.5599999999999999
8,9,9,40,10,0.5,2000000,0,0,8,DONE,2553,2838177,33b1be5efd8ad025393aeeccc764787d,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,0.546153846153846,5.525,,0.121203354713571,,,,2.0,,,,0.0456246859363227,0,2553,9,22,0.5525
9,10,10,40,10,0.5,2000000,0,0,9,DONE,960,40909496,529cac6203be03673d27b6b8fb93a60d,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,0.617948717948718,6.25,,0.0973726347686852,,,,2.0,,,,0.0366877496968499,0,961,10,1,0.625
