,N,c,n,replicate,th
0,40.0,0.7425,5.0,0.0,0.05
1,40.0,0.7275,5.0,1.0,0.05
2,40.0,0.71125,5.0,2.0,0.05
3,40.0,0.716875,5.0,3.0,0.05
4,40.0,0.699375,5.0,4.0,0.05
5,40.0,0.71,5.0,5.0,0.05
6,40.0,0.72375,5.0,6.0,0.05
7,40.0,0.775,5.0,7.0,0.05
8,40.0,0.74,5.0,8.0,0.05
9,40.0,0.768125,5.0,9.0,0.05
10,40.0,0.6925,5.0,10.0,0.05
11,40.0,0.789375,5.0,11.0,0.05
12,40.0,0.689375,5.0,12.0,0.05
13,40.0,0.748125,5.0,13.0,0.05
14,40.0,0.721875,5.0,14.0,0.05
15,40.0,0.79875,5.0,15.0,0.05
16,40.0,0.7475,5.0,16.0,0.05
17,40.0,0.764375,5.0,17.0,0.05
18,40.0,0.78375,5.0,18.0,0.05
19,40.0,0.74125,5.0,19.0,0.05
20,40.0,0.716875,5.0,20.0,0.05
21,40.0,0.741875,5.0,21.0,0.05
22,40.0,0.6975,5.0,22.0,0.05
23,40.0,0.725625,5.0,23.0,0.05
24,40.0,0.761875,5.0,24.0,0.05
25,40.0,0.731875,5.0,25.0,0.05
26,40.0,0.791875,5.0,26.0,0.05
27,40.0,0.754375,5.0,27.0,0.05
28,40.0,0.72375,5.0,28.0,0.05
29,40.0,0.75125,5.0,29.0,0.05
30,40.0,0.7025,5.0,30.0,0.05
31,40.0,0.729375,5.0,31.0,0.05
32,40.0,0.690625,5.0,32.0,0.05
33,40.0,0.73,5.0,33.0,0.05
34,40.0,0.7525,5.0,34.0,0.05
35,40.0,0.730625,5.0,35.0,0.05
36,40.0,0.741875,5.0,36.0,0.05
37,40.0,0.719375,5.0,37.0,0.05
38,40.0,0.7825,5.0,38.0,0.05
39,40.0,0.745,5.0,39.0,0.05
40,40.0,0.74125,5.0,40.0,0.05
41,40.0,0.750625,5.0,41.0,0.05
42,40.0,0.724375,5.0,42.0,0.05
43,40.0,0.70375,5.0,43.0,0.05
44,40.0,0.756875,5.0,44.0,0.05
45,40.0,0.764375,5.0,45.0,0.05
46,40.0,0.7175,5.0,46.0,0.05
47,40.0,0.7425,5.0,47.0,0.05
48,40.0,0.7275,5.0,48.0,0.05
49,40.0,0.673125,5.0,49.0,0.05
50,40.0,0.796875,5.0,0.0,0.08275862068965517
51,40.0,0.718125,5.0,1.0,0.08275862068965517
52,40.0,0.8225,5.0,2.0,0.08275862068965517
53,40.0,0.7375,5.0,3.0,0.08275862068965517
54,40.0,0.73375,5.0,4.0,0.08275862068965517
55,40.0,0.748125,5.0,5.0,0.08275862068965517
56,40.0,0.74125,5.0,6.0,0.08275862068965517
57,40.0,0.74125,5.0,7.0,0.08275862068965517
58,40.0,0.745,5.0,8.0,0.08275862068965517
59,40.0,0.7375,5.0,9.0,0.08275862068965517
60,40.0,0.749375,5.0,10.0,0.08275862068965517
61,40.0,0.719375,5.0,11.0,0.08275862068965517
62,40.0,0.678125,5.0,12.0,0.08275862068965517
63,40.0,0.760625,5.0,13.0,0.08275862068965517
64,40.0,0.759375,5.0,14.0,0.08275862068965517
65,40.0,0.696875,5.0,15.0,0.08275862068965517
66,40.0,0.75875,5.0,16.0,0.08275862068965517
67,40.0,0.770625,5.0,17.0,0.08275862068965517
68,40.0,0.6925,5.0,18.0,0.08275862068965517
69,40.0,0.71375,5.0,19.0,0.08275862068965517
70,40.0,0.69,5.0,20.0,0.08275862068965517
71,40.0,0.749375,5.0,21.0,0.08275862068965517
72,40.0,0.675625,5.0,22.0,0.08275862068965517
73,40.0,0.76625,5.0,23.0,0.08275862068965517
74,40.0,0.736875,5.0,24.0,0.08275862068965517
75,40.0,0.733125,5.0,25.0,0.08275862068965517
76,40.0,0.745,5.0,26.0,0.08275862068965517
77,40.0,0.69375,5.0,27.0,0.08275862068965517
78,40.0,0.708125,5.0,28.0,0.08275862068965517
79,40.0,0.775625,5.0,29.0,0.08275862068965517
80,40.0,0.733125,5.0,30.0,0.08275862068965517
81,40.0,0.79125,5.0,31.0,0.08275862068965517
82,40.0,0.75625,5.0,32.0,0.08275862068965517
83,40.0,0.71625,5.0,33.0,0.08275862068965517
84,40.0,0.74,5.0,34.0,0.08275862068965517
85,40.0,0.770625,5.0,35.0,0.08275862068965517
86,40.0,0.708125,5.0,36.0,0.08275862068965517
87,40.0,0.67125,5.0,37.0,0.08275862068965517
88,40.0,0.715,5.0,38.0,0.08275862068965517
89,40.0,0.735,5.0,39.0,0.08275862068965517
90,40.0,0.71125,5.0,40.0,0.08275862068965517
91,40.0,0.705625,5.0,41.0,0.08275862068965517
92,40.0,0.809375,5.0,42.0,0.08275862068965517
93,40.0,0.734375,5.0,43.0,0.08275862068965517
94,40.0,0.71625,5.0,44.0,0.08275862068965517
95,40.0,0.688125,5.0,45.0,0.08275862068965517
96,40.0,0.741875,5.0,46.0,0.08275862068965517
97,40.0,0.686875,5.0,47.0,0.08275862068965517
98,40.0,0.705,5.0,48.0,0.08275862068965517
99,40.0,0.718125,5.0,49.0,0.08275862068965517
100,40.0,0.711875,5.0,0.0,0.11551724137931034
101,40.0,0.67875,5.0,1.0,0.11551724137931034
102,40.0,0.771875,5.0,2.0,0.11551724137931034
103,40.0,0.74375,5.0,3.0,0.11551724137931034
104,40.0,0.69375,5.0,4.0,0.11551724137931034
105,40.0,0.721875,5.0,5.0,0.11551724137931034
106,40.0,0.68875,5.0,6.0,0.11551724137931034
107,40.0,0.74375,5.0,7.0,0.11551724137931034
108,40.0,0.7275,5.0,8.0,0.11551724137931034
109,40.0,0.725,5.0,9.0,0.11551724137931034
110,40.0,0.710625,5.0,10.0,0.11551724137931034
111,40.0,0.764375,5.0,11.0,0.11551724137931034
112,40.0,0.74375,5.0,12.0,0.11551724137931034
113,40.0,0.739375,5.0,13.0,0.11551724137931034
114,40.0,0.739375,5.0,14.0,0.11551724137931034
115,40.0,0.695625,5.0,15.0,0.11551724137931034
116,40.0,0.698125,5.0,16.0,0.11551724137931034
117,40.0,0.71125,5.0,17.0,0.11551724137931034
118,40.0,0.831875,5.0,18.0,0.11551724137931034
119,40.0,0.67625,5.0,19.0,0.11551724137931034
120,40.0,0.759375,5.0,20.0,0.11551724137931034
121,40.0,0.706875,5.0,21.0,0.11551724137931034
122,40.0,0.741875,5.0,22.0,0.11551724137931034
123,40.0,0.735,5.0,23.0,0.11551724137931034
124,40.0,0.76,5.0,24.0,0.11551724137931034
125,40.0,0.75625,5.0,25.0,0.11551724137931034
126,40.0,0.729375,5.0,26.0,0.11551724137931034
127,40.0,0.739375,5.0,27.0,0.11551724137931034
128,40.0,0.730625,5.0,28.0,0.11551724137931034
129,40.0,0.723125,5.0,29.0,0.11551724137931034
130,40.0,0.73125,5.0,30.0,0.11551724137931034
131,40.0,0.691875,5.0,31.0,0.11551724137931034
132,40.0,0.73625,5.0,32.0,0.11551724137931034
133,40.0,0.7175,5.0,33.0,0.11551724137931034
134,40.0,0.7975,5.0,34.0,0.11551724137931034
135,40.0,0.6925,5.0,35.0,0.11551724137931034
136,40.0,0.710625,5.0,36.0,0.11551724137931034
137,40.0,0.79875,5.0,37.0,0.11551724137931034
138,40.0,0.75,5.0,38.0,0.11551724137931034
139,40.0,0.704375,5.0,39.0,0.11551724137931034
140,40.0,0.75625,5.0,40.0,0.11551724137931034
141,40.0,0.691875,5.0,41.0,0.11551724137931034
142,40.0,0.686875,5.0,42.0,0.11551724137931034
143,40.0,0.74,5.0,43.0,0.11551724137931034
144,40.0,0.76,5.0,44.0,0.11551724137931034
145,40.0,0.740625,5.0,45.0,0.11551724137931034
146,40.0,0.67875,5.0,46.0,0.11551724137931034
147,40.0,0.778125,5.0,47.0,0.11551724137931034
148,40.0,0.748125,5.0,48.0,0.11551724137931034
149,40.0,0.70375,5.0,49.0,0.11551724137931034
150,40.0,0.693125,5.0,0.0,0.1482758620689655
151,40.0,0.71375,5.0,1.0,0.1482758620689655
152,40.0,0.73,5.0,2.0,0.1482758620689655
153,40.0,0.746875,5.0,3.0,0.1482758620689655
154,40.0,0.6975,5.0,4.0,0.1482758620689655
155,40.0,0.79625,5.0,5.0,0.1482758620689655
